# Residuals   
# Time        	Ux            	Uy            	p             	k             	omega         
250           	1.453086e-03	3.867079e-01	3.842089e-01	4.691044e-03	1.368682e-03
251           	1.263133e-03	6.370480e-01	9.083216e-02	4.440169e-03	8.382945e-04
252           	1.159083e-03	5.433729e-01	1.380817e-01	8.134301e-03	1.559586e-03
253           	1.484150e-03	3.483105e-01	1.770175e-01	3.436942e-03	1.281639e-03
254           	1.125810e-03	6.301769e-01	6.053029e-02	7.543250e-03	1.442650e-03
255           	1.383262e-03	3.895456e-01	4.596401e-01	4.619351e-03	1.346580e-03
256           	1.195658e-03	6.323377e-01	8.995878e-02	4.367081e-03	8.147681e-04
257           	1.091239e-03	5.378371e-01	1.475571e-01	8.062162e-03	1.539691e-03
258           	1.416355e-03	3.584815e-01	1.687524e-01	3.363071e-03	1.258786e-03
259           	1.059638e-03	6.210382e-01	6.060283e-02	7.465495e-03	1.422236e-03
260           	1.317984e-03	3.782118e-01	5.285310e-01	4.543435e-03	1.324852e-03
261           	1.132463e-03	6.454395e-01	8.853286e-02	4.290623e-03	7.920339e-04
262           	1.029082e-03	5.324788e-01	1.531265e-01	7.982297e-03	1.520211e-03
263           	1.353092e-03	3.656146e-01	1.631977e-01	3.287683e-03	1.236709e-03
264           	9.988399e-04	6.228977e-01	6.028527e-02	7.384310e-03	1.402489e-03
265           	1.256925e-03	3.734381e-01	5.891323e-01	4.465942e-03	1.303908e-03
266           	1.073394e-03	6.588341e-01	8.778915e-02	4.212870e-03	7.703991e-04
267           	9.713780e-04	5.304198e-01	1.560481e-01	7.899229e-03	1.501469e-03
268           	1.294069e-03	3.721464e-01	1.599203e-01	3.211891e-03	1.215627e-03
269           	9.430567e-04	6.270994e-01	6.011988e-02	7.301725e-03	1.383556e-03
270           	1.200045e-03	3.732411e-01	6.442749e-01	4.388231e-03	1.283904e-03
271           	1.018494e-03	6.675904e-01	8.732350e-02	4.135339e-03	7.499523e-04
272           	9.176869e-04	5.288319e-01	1.598009e-01	7.815809e-03	1.483557e-03
273           	1.239589e-03	3.788493e-01	1.571222e-01	3.137453e-03	1.195620e-03
274           	8.911014e-04	6.311806e-01	5.988489e-02	7.220221e-03	1.365499e-03
275           	1.147173e-03	3.737028e-01	7.154434e-01	4.312441e-03	1.264889e-03
276           	9.676604e-04	6.751797e-01	8.661559e-02	4.059837e-03	7.306963e-04
277           	8.678328e-04	5.273992e-01	1.629872e-01	7.733792e-03	1.466499e-03
278           	1.189531e-03	3.859856e-01	1.544288e-01	3.065054e-03	1.176696e-03
279           	8.427946e-04	6.360773e-01	5.979877e-02	7.140338e-03	1.348338e-03
280           	1.098080e-03	3.732475e-01	7.869765e-01	4.238640e-03	1.246906e-03
281           	9.210328e-04	6.819184e-01	8.624462e-02	3.986590e-03	7.126347e-04
282           	8.216397e-04	5.263002e-01	1.669127e-01	7.653946e-03	1.450293e-03
283           	1.143083e-03	3.935898e-01	1.522605e-01	2.995327e-03	1.158972e-03
284           	7.979276e-04	6.415060e-01	5.964797e-02	7.062770e-03	1.332063e-03
285           	1.052531e-03	3.723699e-01	8.794304e-01	4.167238e-03	1.230000e-03
286           	8.781184e-04	6.868431e-01	8.564023e-02	3.915644e-03	6.956733e-04
287           	7.788109e-04	5.264881e-01	1.696234e-01	7.576090e-03	1.434927e-03
288           	1.099999e-03	4.014280e-01	1.500732e-01	2.927649e-03	1.142287e-03
289           	7.563655e-04	6.464384e-01	5.943596e-02	6.987086e-03	1.316657e-03
290           	1.010319e-03	3.713572e-01	9.629316e-01	4.097832e-03	1.214021e-03
291           	8.387140e-04	6.896572e-01	8.523722e-02	3.846762e-03	6.797582e-04
292           	7.391477e-04	5.266724e-01	1.722212e-01	7.500167e-03	1.420403e-03
293           	1.060692e-03	4.092168e-01	1.484310e-01	2.895255e-03	1.135731e-03
294           	7.203540e-04	6.553733e-01	8.307450e-02	6.869682e-03	1.300112e-03
295           	9.669807e-04	3.795075e-01	8.220923e-01	4.045005e-03	1.190328e-03
296           	8.024303e-04	6.885041e-01	9.031640e-02	3.774165e-03	6.631206e-04
297           	7.017687e-04	5.239023e-01	1.758332e-01	7.420538e-03	1.405908e-03
298           	1.023900e-03	3.690084e-01	1.488772e-01	5.140936e-03	1.721724e-03
299           	8.956974e-04	6.952482e-01	1.543297e-01	4.602919e-03	1.250530e-03
300           	7.751325e-04	4.866694e-01	1.603906e-01	4.120446e-03	6.972270e-04
301           	7.209708e-04	5.933228e-01	2.031663e-01	3.771549e-03	4.268375e-04
302           	6.987673e-04	5.337115e-01	1.730490e-01	7.136716e-03	1.345644e-03
303           	9.744075e-04	4.356342e-01	1.615575e-01	5.462150e-03	1.785589e-03
304           	8.927586e-04	4.973314e-01	8.514093e-01	4.415222e-03	1.300870e-03
305           	7.496665e-04	5.030919e-01	1.095934e-01	3.920445e-03	6.896041e-04
306           	6.789038e-04	5.903374e-01	2.301547e-01	4.345323e-03	6.182057e-04
307           	7.212291e-04	5.023875e-01	2.660153e-01	8.393092e-03	1.838039e-03
308           	1.063397e-03	5.631256e-01	1.846553e-01	3.533972e-03	1.639646e-03
309           	7.343204e-04	6.531147e-01	1.865557e-01	4.400399e-03	7.910189e-04
310           	6.775067e-04	5.301048e-01	1.274315e-01	3.891481e-03	4.541024e-04
311           	6.727036e-04	3.716060e-01	5.812231e-01	8.658264e-03	1.765051e-03
312           	1.056255e-03	4.319838e-01	1.752501e-01	3.530318e-03	1.687956e-03
313           	7.179661e-04	7.558917e-01	4.112559e-01	4.503168e-03	8.125215e-04
314           	6.614468e-04	4.231362e-01	3.461585e-01	3.983094e-03	4.609638e-04
315           	6.697316e-04	5.288746e-01	2.743262e-01	6.154489e-03	1.131374e-03
316           	8.312908e-04	5.630132e-01	3.307900e-01	6.580291e-03	1.850689e-03
317           	8.896334e-04	6.755397e-01	4.198704e-01	3.478096e-03	1.237443e-03
318           	6.309948e-04	5.229758e-01	2.283260e-01	4.239141e-03	5.805493e-04
319           	6.423582e-04	6.152925e-01	6.519691e-01	6.000930e-03	1.093331e-03
